iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
AR,Argentina,2/15/2020,-3.0,-3.0,0.0,1.0,4.0,-1.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/16/2020,-6.0,-14.0,2.0,-6.0,-2.0,-4.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/17/2020,-8.0,-23.0,1.0,-10.0,-2.0,7.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/18/2020,3.0,-2.0,-1.0,3.0,9.0,9.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/19/2020,0.0,10.0,-2.0,1.0,8.0,11.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/20/2020,0.0,-8.0,-1.0,0.0,7.0,9.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/21/2020,4.0,-9.0,-1.0,3.0,9.0,9.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/22/2020,5.0,4.0,0.0,6.0,7.0,-1.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/23/2020,8.0,18.0,0.0,14.0,5.0,-2.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/24/2020,-16.0,26.0,6.0,-10.0,-27.0,-54.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/25/2020,-17.0,1.0,7.0,-20.0,-28.0,-50.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/26/2020,2.0,5.0,-2.0,1.0,9.0,13.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/27/2020,0.0,-5.0,0.0,-1.0,8.0,12.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/28/2020,2.0,-8.0,-1.0,3.0,8.0,13.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,2/29/2020,5.0,-8.0,1.0,5.0,6.0,2.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/1/2020,3.0,-11.0,2.0,-3.0,1.0,-2.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/2/2020,4.0,-8.0,-1.0,1.0,7.0,16.0,0,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/3/2020,5.0,-6.0,-1.0,0.0,8.0,16.0,1,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/4/2020,3.0,-1.0,-2.0,-1.0,8.0,18.0,1,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/5/2020,4.0,-9.0,-1.0,1.0,10.0,18.0,2,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/6/2020,8.0,-7.0,-2.0,6.0,12.0,18.0,8,0,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/7/2020,7.0,-10.0,1.0,5.0,8.0,3.0,9,1,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/8/2020,4.0,-12.0,2.0,3.0,3.0,-2.0,12,1,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/9/2020,5.0,-9.0,-1.0,1.0,13.0,15.0,17,1,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/10/2020,8.0,-9.0,-2.0,3.0,14.0,18.0,19,1,0.111,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/11/2020,-7.0,-24.0,0.0,-16.0,-6.0,15.0,21,1,0.25,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/12/2020,8.0,-16.0,-1.0,-4.0,10.0,18.0,31,1,0.25,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/13/2020,10.0,-17.0,-1.0,-5.0,7.0,18.0,34,2,0.25,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/14/2020,5.0,-40.0,7.0,-19.0,-19.0,-4.0,45,2,0.25,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/15/2020,17.0,-44.0,9.0,-29.0,-17.0,-10.0,56,2,0.25,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/16/2020,8.0,-39.0,6.0,-27.0,-17.0,1.0,65,2,0.41700000000000004,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/17/2020,-11.0,-54.0,11.0,-41.0,-32.0,-12.0,79,2,0.41700000000000004,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/18/2020,-11.0,-49.0,12.0,-43.0,-35.0,-19.0,97,2,0.41700000000000004,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/19/2020,5.0,-55.0,13.0,-42.0,-35.0,-24.0,128,3,0.75,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/20/2020,-40.0,-80.0,29.0,-78.0,-72.0,-61.0,158,3,0.889,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/21/2020,-49.0,-85.0,28.0,-83.0,-75.0,-57.0,225,4,0.889,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/22/2020,-61.0,-90.0,27.0,-87.0,-81.0,-58.0,266,4,0.889,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/23/2020,-64.0,-88.0,32.0,-88.0,-85.0,-79.0,301,4,1.0,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/24/2020,-64.0,-88.0,31.0,-88.0,-85.0,-79.0,387,6,1.0,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/25/2020,-50.0,-82.0,28.0,-82.0,-77.0,-68.0,502,8,1.0,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/26/2020,-52.0,-84.0,30.0,-83.0,-77.0,-68.0,589,12,1.0,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
AR,Argentina,3/27/2020,-49.0,-82.0,32.0,-81.0,-75.0,-67.0,690,17,1.0,,20610.57,45111229.0,17.0,0.83,11.12,0.722,South America
