iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
BR,Brazil,2/15/2020,4.0,-5.0,0.0,5.0,8.0,6.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/16/2020,3.0,-13.0,1.0,2.0,3.0,0.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/17/2020,0.0,-12.0,-1.0,-2.0,9.0,19.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/18/2020,-1.0,-11.0,-1.0,-3.0,9.0,15.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/19/2020,-2.0,-5.0,-1.0,-1.0,8.0,14.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/20/2020,7.0,2.0,-2.0,1.0,11.0,15.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/21/2020,10.0,1.0,-1.0,2.0,12.0,13.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/22/2020,6.0,12.0,0.0,-3.0,6.0,-4.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/23/2020,7.0,32.0,1.0,4.0,2.0,-3.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/24/2020,-7.0,69.0,8.0,-14.0,-27.0,-45.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/25/2020,-29.0,51.0,10.0,-31.0,-35.0,-61.0,0,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/26/2020,-11.0,-8.0,6.0,-18.0,-17.0,-18.0,1,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/27/2020,2.0,-11.0,1.0,-8.0,1.0,10.0,1,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/28/2020,3.0,-17.0,1.0,-5.0,2.0,13.0,1,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,2/29/2020,5.0,-23.0,3.0,-3.0,-2.0,5.0,2,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/1/2020,3.0,-34.0,5.0,-9.0,-10.0,-1.0,2,0,0.055999999999999994,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/2/2020,1.0,-25.0,0.0,-6.0,6.0,20.0,2,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/3/2020,2.0,-21.0,-1.0,-5.0,6.0,15.0,2,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/4/2020,2.0,-11.0,-1.0,-1.0,7.0,16.0,4,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/5/2020,7.0,-5.0,-2.0,0.0,10.0,18.0,8,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/6/2020,11.0,-7.0,-2.0,6.0,13.0,18.0,14,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/7/2020,13.0,-14.0,0.0,9.0,8.0,7.0,19,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/8/2020,11.0,-17.0,1.0,8.0,2.0,3.0,25,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/9/2020,5.0,-12.0,-2.0,1.0,12.0,21.0,30,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/10/2020,5.0,-11.0,-2.0,0.0,11.0,17.0,34,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/11/2020,2.0,-6.0,-1.0,1.0,10.0,17.0,52,0,0.111,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/12/2020,4.0,-5.0,-2.0,-2.0,10.0,17.0,76,0,0.287,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/13/2020,7.0,-8.0,-2.0,0.0,10.0,18.0,98,0,0.38,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/14/2020,7.0,-15.0,1.0,-2.0,0.0,6.0,121,0,0.42100000000000004,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/15/2020,7.0,-21.0,3.0,-8.0,-7.0,0.0,200,0,0.42100000000000004,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/16/2020,6.0,-23.0,1.0,-11.0,-4.0,14.0,234,0,0.42100000000000004,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/17/2020,7.0,-28.0,4.0,-19.0,-15.0,3.0,291,1,0.579,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/18/2020,5.0,-28.0,7.0,-25.0,-22.0,-6.0,428,4,0.606,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/19/2020,2.0,-34.0,10.0,-36.0,-31.0,-17.0,621,7,0.662,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/20/2020,0.0,-45.0,13.0,-45.0,-37.0,-21.0,964,11,0.662,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/21/2020,-16.0,-66.0,16.0,-63.0,-50.0,-30.0,1178,18,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/22/2020,-33.0,-75.0,17.0,-72.0,-60.0,-34.0,1546,25,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/23/2020,-26.0,-61.0,20.0,-65.0,-58.0,-42.0,1891,34,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/24/2020,-33.0,-62.0,22.0,-71.0,-63.0,-51.0,2201,46,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/25/2020,-32.0,-57.0,23.0,-69.0,-63.0,-52.0,2433,57,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/26/2020,-29.0,-54.0,22.0,-69.0,-62.0,-50.0,2915,77,0.718,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/27/2020,-26.0,-56.0,23.0,-67.0,-60.0,-48.0,3417,92,0.745,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/28/2020,-27.0,-64.0,19.0,-70.0,-59.0,-41.0,3904,114,0.745,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/29/2020,-35.0,-70.0,17.0,-71.0,-62.0,-34.0,4256,136,0.745,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
BR,Brazil,3/30/2020,-26.0,-55.0,20.0,-62.0,-59.0,-43.0,4579,159,0.745,,16096.4,212253150.0,25.0,0.7609999999999999,8.92,0.573,South America
