iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
CA,Canada,2/15/2020,2.0,10.0,0.0,4.0,3.0,1.0,8,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/16/2020,8.0,41.0,-2.0,13.0,4.0,0.0,8,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/17/2020,-15.0,63.0,11.0,-12.0,-28.0,-52.0,8,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/18/2020,4.0,6.0,1.0,-1.0,-1.0,-1.0,8,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/19/2020,1.0,9.0,0.0,1.0,0.0,0.0,8,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/20/2020,4.0,14.0,0.0,6.0,-1.0,1.0,9,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/21/2020,-1.0,10.0,1.0,2.0,-1.0,-3.0,9,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/22/2020,5.0,28.0,-1.0,8.0,6.0,6.0,9,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/23/2020,6.0,36.0,-1.0,10.0,5.0,5.0,10,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/24/2020,2.0,19.0,0.0,3.0,-1.0,3.0,11,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/25/2020,5.0,9.0,0.0,2.0,0.0,3.0,11,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/26/2020,2.0,1.0,1.0,-2.0,-2.0,1.0,12,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/27/2020,-9.0,-6.0,4.0,-8.0,-5.0,-5.0,14,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/28/2020,1.0,-5.0,1.0,-1.0,1.0,0.0,16,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,2/29/2020,7.0,11.0,0.0,7.0,6.0,7.0,20,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,3/1/2020,9.0,23.0,-1.0,10.0,6.0,5.0,24,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
CA,Canada,3/2/2020,3.0,1.0,1.0,3.0,-2.0,-1.0,27,0,0.027999999999999997,,48130.26,37674770.0,4.0,0.922,17.23,0.8809999999999999,North America
