iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
IN,India,2/15/2020,2.0,3.0,0.0,1.0,3.0,5.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/16/2020,2.0,3.0,0.0,2.0,2.0,0.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/17/2020,1.0,3.0,0.0,-1.0,1.0,4.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/18/2020,2.0,4.0,0.0,0.0,2.0,3.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/19/2020,2.0,1.0,1.0,0.0,1.0,4.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/20/2020,3.0,5.0,-1.0,1.0,5.0,4.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/21/2020,0.0,6.0,5.0,-4.0,-4.0,-19.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/22/2020,-2.0,4.0,1.0,-2.0,-2.0,-2.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/23/2020,-1.0,1.0,1.0,-2.0,0.0,2.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/24/2020,0.0,2.0,0.0,-1.0,1.0,4.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/25/2020,-2.0,3.0,0.0,-1.0,1.0,1.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/26/2020,0.0,1.0,-1.0,0.0,3.0,3.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/27/2020,-1.0,3.0,0.0,-1.0,1.0,4.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/28/2020,1.0,3.0,0.0,0.0,1.0,5.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,2/29/2020,-1.0,-1.0,0.0,-2.0,0.0,8.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
IN,India,3/1/2020,4.0,1.0,1.0,1.0,0.0,3.0,3,0,0.102,,7762.88,1377233523.0,464.0,0.647,6.18,0.617,Asia
