iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
IT,Italy,2/15/2020,-1.0,35.0,-1.0,3.0,9.0,0.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/16/2020,2.0,26.0,-2.0,3.0,11.0,1.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/17/2020,1.0,7.0,0.0,0.0,3.0,1.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/18/2020,1.0,16.0,0.0,3.0,4.0,1.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/19/2020,-1.0,11.0,0.0,0.0,3.0,1.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/20/2020,1.0,18.0,0.0,2.0,5.0,1.0,3,0,0.19399999999999998,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/21/2020,1.0,19.0,-1.0,1.0,5.0,0.0,20,1,0.278,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/22/2020,3.0,30.0,-1.0,-1.0,8.0,0.0,79,2,0.37,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/23/2020,16.0,23.0,0.0,-5.0,6.0,1.0,150,3,0.6990000000000001,,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/24/2020,23.0,22.0,4.0,-4.0,-15.0,-14.0,229,6,0.6990000000000001,4324.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/25/2020,5.0,20.0,5.0,-6.0,-18.0,-15.0,322,10,0.6990000000000001,8623.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/26/2020,-5.0,-6.0,6.0,-13.0,-23.0,-12.0,445,12,0.6990000000000001,9587.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/27/2020,-3.0,-1.0,6.0,-10.0,-22.0,-12.0,650,17,0.6990000000000001,12014.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/28/2020,-2.0,11.0,5.0,-8.0,-20.0,-12.0,888,21,0.6990000000000001,15695.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,2/29/2020,-2.0,2.0,3.0,-10.0,-16.0,-9.0,1128,29,0.6990000000000001,18661.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/1/2020,-5.0,-30.0,4.0,-19.0,-26.0,-5.0,1694,34,0.6990000000000001,21127.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/2/2020,-7.0,-26.0,5.0,-13.0,-25.0,-9.0,2036,52,0.6990000000000001,23345.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/3/2020,-1.0,-9.0,4.0,-7.0,-21.0,-8.0,2502,79,0.6990000000000001,25856.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/4/2020,1.0,8.0,4.0,-7.0,-19.0,-8.0,3089,107,0.745,29837.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/5/2020,0.0,-12.0,7.0,-12.0,-28.0,-16.0,3858,148,0.745,32362.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/6/2020,0.0,-8.0,8.0,-15.0,-29.0,-17.0,4636,197,0.745,36359.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/7/2020,1.0,2.0,6.0,-19.0,-24.0,-15.0,5883,233,0.745,42062.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/8/2020,3.0,1.0,6.0,-32.0,-27.0,-10.0,7375,366,0.745,49937.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/9/2020,-1.0,-24.0,11.0,-30.0,-42.0,-24.0,9172,463,0.745,53826.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/10/2020,-2.0,-32.0,16.0,-43.0,-51.0,-31.0,10149,631,0.8240000000000001,60761.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/11/2020,-14.0,-32.0,19.0,-52.0,-57.0,-37.0,12462,827,0.852,73154.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/12/2020,-23.0,-61.0,24.0,-70.0,-67.0,-47.0,15113,1016,0.852,86011.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/13/2020,-28.0,-64.0,28.0,-75.0,-71.0,-53.0,17660,1266,0.852,97488.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/14/2020,-43.0,-78.0,25.0,-83.0,-76.0,-58.0,21157,1441,0.852,109170.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/15/2020,-60.0,-81.0,22.0,-90.0,-80.0,-55.0,24747,1809,0.852,124899.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/16/2020,-37.0,-67.0,27.0,-75.0,-74.0,-58.0,27980,2158,0.852,137962.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/17/2020,-41.0,-68.0,29.0,-77.0,-76.0,-61.0,31506,2503,0.852,148657.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/18/2020,-43.0,-71.0,30.0,-79.0,-77.0,-61.0,35713,2978,0.852,165541.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/19/2020,-44.0,-74.0,31.0,-79.0,-78.0,-63.0,41035,3405,0.852,182777.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/20/2020,-40.0,-77.0,32.0,-80.0,-78.0,-63.0,47021,4032,0.917,206886.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/21/2020,-51.0,-85.0,26.0,-86.0,-80.0,-63.0,53578,4825,0.917,233222.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/22/2020,-85.0,-91.0,24.0,-95.0,-87.0,-63.0,59138,5475,0.917,258402.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/23/2020,-45.0,-81.0,32.0,-80.0,-81.0,-68.0,63927,6077,0.917,275468.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/24/2020,-48.0,-80.0,32.0,-81.0,-81.0,-69.0,69176,6820,0.917,296964.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/25/2020,-51.0,-82.0,34.0,-83.0,-82.0,-70.0,74386,7503,0.917,324445.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/26/2020,-52.0,-84.0,35.0,-84.0,-83.0,-72.0,80539,8215,0.917,361060.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/27/2020,-46.0,-82.0,36.0,-83.0,-82.0,-71.0,86498,9134,0.917,394079.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/28/2020,-54.0,-86.0,27.0,-87.0,-82.0,-65.0,92472,10023,0.917,429526.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/29/2020,-85.0,-90.0,24.0,-94.0,-87.0,-63.0,97689,10779,0.917,454030.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/30/2020,-47.0,-79.0,32.0,-81.0,-81.0,-69.0,101739,11591,0.917,477359.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,3/31/2020,-42.0,-78.0,33.0,-90.0,-79.0,-70.0,105792,12428,0.917,506968.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/1/2020,-41.0,-77.0,33.0,-90.0,-79.0,-70.0,110574,13155,0.917,541423.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/2/2020,-40.0,-77.0,34.0,-90.0,-79.0,-70.0,115242,13915,0.917,581232.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/3/2020,-37.0,-78.0,35.0,-85.0,-79.0,-69.0,119827,14681,0.917,619849.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/4/2020,-48.0,-84.0,27.0,-89.0,-80.0,-63.0,124632,15362,0.917,657224.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/5/2020,-82.0,-90.0,24.0,-95.0,-86.0,-62.0,128948,15887,0.917,691461.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/6/2020,-39.0,-76.0,31.0,-83.0,-78.0,-66.0,132547,16523,0.917,721732.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/7/2020,-38.0,-75.0,31.0,-81.0,-78.0,-67.0,135586,17127,0.917,755445.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/8/2020,-37.0,-76.0,31.0,-82.0,-78.0,-67.0,139422,17669,0.917,807125.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/9/2020,-32.0,-76.0,32.0,-81.0,-78.0,-67.0,143626,18279,0.917,853369.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/10/2020,-27.0,-76.0,33.0,-81.0,-77.0,-68.0,147577,18849,0.88,906864.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/11/2020,-42.0,-83.0,26.0,-86.0,-78.0,-62.0,152271,19468,0.88,963473.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/12/2020,-94.0,-91.0,25.0,-96.0,-88.0,-66.0,156363,19899,0.935,1010193.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/13/2020,-93.0,-86.0,40.0,-96.0,-91.0,-90.0,159516,20465,0.935,1046910.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/14/2020,-41.0,-76.0,30.0,-81.0,-77.0,-65.0,162488,21067,0.935,1073689.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/15/2020,-38.0,-75.0,30.0,-80.0,-76.0,-64.0,165155,21645,0.935,1117404.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/16/2020,-37.0,-75.0,31.0,-79.0,-76.0,-63.0,168941,22170,0.935,1178403.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/17/2020,-34.0,-75.0,32.0,-79.0,-76.0,-63.0,172434,22745,0.935,1244108.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/18/2020,-48.0,-82.0,25.0,-85.0,-77.0,-58.0,175925,23227,0.935,1305833.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
IT,Italy,4/19/2020,-82.0,-88.0,23.0,-94.0,-84.0,-58.0,178972,23660,0.935,1356541.0,41830.43,60479424.0,206.0,0.883,22.75,0.991,Europe
