iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
MX,Mexico,2/15/2020,4.0,6.0,-1.0,6.0,4.0,3.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/16/2020,6.0,7.0,-1.0,7.0,6.0,2.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/17/2020,4.0,3.0,-2.0,2.0,5.0,11.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/18/2020,-1.0,3.0,-2.0,0.0,2.0,9.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/19/2020,0.0,2.0,-1.0,0.0,3.0,8.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/20/2020,-1.0,2.0,-1.0,0.0,3.0,7.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/21/2020,-2.0,-1.0,-1.0,-2.0,4.0,11.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/22/2020,0.0,7.0,0.0,0.0,4.0,4.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/23/2020,1.0,8.0,-1.0,2.0,7.0,2.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/24/2020,0.0,6.0,-1.0,-2.0,4.0,8.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/25/2020,-2.0,7.0,-1.0,-2.0,2.0,6.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/26/2020,-1.0,3.0,-1.0,-3.0,1.0,6.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/27/2020,1.0,0.0,-1.0,1.0,2.0,7.0,0,0,0.0,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/28/2020,6.0,3.0,-2.0,3.0,6.0,12.0,3,0,0.027999999999999997,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,2/29/2020,8.0,5.0,-1.0,6.0,5.0,6.0,4,0,0.027999999999999997,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
MX,Mexico,3/1/2020,9.0,7.0,-1.0,6.0,7.0,3.0,5,0,0.027999999999999997,,19844.65,128655589.0,66.0,0.767,7.22,0.755,North America
