iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
SA,Saudi Arabia,2/15/2020,0.0,-1.0,2.0,-5.0,-6.0,0.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/16/2020,-2.0,0.0,2.0,-5.0,-5.0,4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/17/2020,-4.0,3.0,2.0,-8.0,-7.0,4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/18/2020,-3.0,3.0,2.0,-7.0,-6.0,4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/19/2020,-4.0,8.0,1.0,-7.0,-4.0,3.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/20/2020,-4.0,-3.0,2.0,-5.0,-3.0,3.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/21/2020,-3.0,4.0,2.0,-6.0,-13.0,-4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/22/2020,-4.0,-3.0,2.0,-9.0,-8.0,0.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/23/2020,-4.0,3.0,2.0,-7.0,-7.0,4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/24/2020,-6.0,5.0,2.0,-9.0,-8.0,4.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/25/2020,-3.0,2.0,1.0,-6.0,-3.0,3.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/26/2020,-1.0,-3.0,2.0,-5.0,-3.0,-1.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/27/2020,5.0,-3.0,1.0,2.0,-2.0,3.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/28/2020,6.0,3.0,2.0,3.0,-10.0,-3.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,2/29/2020,6.0,-2.0,1.0,1.0,-6.0,2.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/1/2020,5.0,2.0,1.0,1.0,-6.0,5.0,0,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/2/2020,3.0,0.0,1.0,-2.0,-8.0,4.0,1,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/3/2020,3.0,0.0,1.0,-1.0,-8.0,4.0,1,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/4/2020,2.0,2.0,1.0,-1.0,-6.0,4.0,2,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/5/2020,3.0,-2.0,1.0,1.0,-9.0,4.0,5,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/6/2020,2.0,-1.0,2.0,-1.0,-17.0,-3.0,8,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/7/2020,2.0,-9.0,2.0,-4.0,-16.0,2.0,9,0,0.111,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/8/2020,2.0,-2.0,2.0,-4.0,-18.0,4.0,11,0,0.19399999999999998,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/9/2020,2.0,0.0,5.0,-8.0,-21.0,-8.0,15,0,0.306,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/10/2020,3.0,4.0,5.0,-5.0,-19.0,-9.0,20,0,0.306,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/11/2020,0.0,4.0,5.0,-7.0,-21.0,-9.0,45,0,0.306,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/12/2020,0.0,-12.0,7.0,-10.0,-25.0,-9.0,62,0,0.306,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/13/2020,-1.0,-17.0,6.0,-16.0,-31.0,-5.0,86,0,0.41700000000000004,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/14/2020,0.0,-14.0,5.0,-16.0,-28.0,0.0,103,0,0.41700000000000004,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/15/2020,4.0,-8.0,7.0,-14.0,-34.0,-11.0,118,0,0.528,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/16/2020,2.0,-19.0,9.0,-29.0,-43.0,-19.0,133,0,0.685,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/17/2020,-5.0,-25.0,11.0,-35.0,-47.0,-24.0,171,0,0.685,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/18/2020,-8.0,-29.0,13.0,-38.0,-50.0,-27.0,238,0,0.685,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/19/2020,-12.0,-42.0,16.0,-41.0,-56.0,-31.0,274,0,0.685,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/20/2020,-18.0,-59.0,14.0,-50.0,-62.0,-21.0,344,0,0.685,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/21/2020,-16.0,-50.0,14.0,-49.0,-69.0,-20.0,392,0,0.7959999999999999,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
SA,Saudi Arabia,3/22/2020,-18.0,-43.0,18.0,-49.0,-69.0,-37.0,511,0,0.7959999999999999,,55335.68,34701377.0,16.0,0.857,3.31,0.894,Asia
