iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
ZA,South Africa,2/15/2020,0.0,-2.0,-2.0,4.0,-2.0,1.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/16/2020,-1.0,-10.0,0.0,-3.0,-6.0,-1.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/17/2020,-10.0,-10.0,1.0,-10.0,3.0,4.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/18/2020,-12.0,-8.0,1.0,-12.0,0.0,4.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/19/2020,-12.0,-7.0,1.0,-12.0,-2.0,3.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/20/2020,-6.0,-6.0,-1.0,-5.0,1.0,3.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/21/2020,-6.0,-4.0,-3.0,-3.0,4.0,3.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/22/2020,-8.0,-18.0,0.0,-4.0,-8.0,2.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/23/2020,-6.0,-21.0,3.0,-9.0,-12.0,-1.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/24/2020,-13.0,-10.0,1.0,-11.0,-2.0,5.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/25/2020,-1.0,-5.0,-1.0,-1.0,2.0,5.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/26/2020,-1.0,-4.0,-1.0,1.0,4.0,5.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/27/2020,5.0,-6.0,-1.0,6.0,6.0,5.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/28/2020,11.0,-6.0,-2.0,12.0,17.0,4.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,2/29/2020,14.0,-8.0,-2.0,20.0,8.0,5.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/1/2020,21.0,-3.0,-1.0,18.0,9.0,7.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/2/2020,5.0,-7.0,1.0,4.0,10.0,7.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/3/2020,5.0,-1.0,-1.0,2.0,11.0,9.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/4/2020,5.0,-1.0,0.0,3.0,9.0,8.0,0,0,0.027999999999999997,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/5/2020,7.0,-1.0,0.0,4.0,9.0,8.0,1,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/6/2020,8.0,1.0,-1.0,7.0,13.0,8.0,1,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/7/2020,6.0,-3.0,0.0,8.0,2.0,6.0,2,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/8/2020,3.0,-12.0,2.0,-1.0,-5.0,3.0,3,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/9/2020,-7.0,-11.0,1.0,-8.0,1.0,6.0,7,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/10/2020,-8.0,-9.0,-1.0,-9.0,0.0,5.0,7,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/11/2020,-8.0,-7.0,-2.0,-9.0,-2.0,4.0,13,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/12/2020,-5.0,-6.0,-2.0,-6.0,-4.0,3.0,16,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/13/2020,2.0,-5.0,-4.0,1.0,-1.0,3.0,24,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/14/2020,1.0,-10.0,-1.0,2.0,-8.0,4.0,38,0,0.139,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/15/2020,0.0,-18.0,2.0,-6.0,-14.0,2.0,51,0,0.19399999999999998,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/16/2020,1.0,-18.0,3.0,-10.0,-11.0,2.0,62,0,0.389,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/17/2020,-4.0,-16.0,5.0,-15.0,-14.0,-3.0,85,0,0.389,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/18/2020,-4.0,-12.0,7.0,-14.0,-16.0,-8.0,116,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/19/2020,-5.0,-10.0,9.0,-16.0,-20.0,-14.0,150,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/20/2020,1.0,-14.0,9.0,-14.0,-19.0,-15.0,202,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/21/2020,-6.0,-21.0,8.0,-24.0,-26.0,-18.0,240,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/22/2020,-10.0,-23.0,9.0,-31.0,-36.0,-11.0,274,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/23/2020,-4.0,-15.0,11.0,-20.0,-33.0,-21.0,402,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/24/2020,18.0,-16.0,9.0,-7.0,-28.0,-22.0,554,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/25/2020,34.0,-13.0,7.0,9.0,-19.0,-24.0,709,0,0.556,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
ZA,South Africa,3/26/2020,59.0,-9.0,6.0,16.0,-26.0,-32.0,927,0,0.88,,13686.88,59154802.0,49.0,0.705,5.32,0.319,Africa
