iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
UA,Ukraine,2/15/2020,3.0,6.0,0.0,6.0,5.0,0.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/16/2020,3.0,2.0,0.0,4.0,4.0,7.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/17/2020,3.0,5.0,0.0,4.0,5.0,6.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/18/2020,4.0,5.0,-1.0,3.0,5.0,7.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/19/2020,6.0,16.0,-2.0,7.0,8.0,8.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/20/2020,4.0,11.0,-1.0,4.0,7.0,7.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/21/2020,6.0,2.0,-1.0,4.0,7.0,7.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/22/2020,7.0,12.0,-1.0,8.0,8.0,5.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/23/2020,2.0,-12.0,0.0,0.0,2.0,7.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/24/2020,-3.0,-14.0,1.0,-5.0,-1.0,3.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/25/2020,5.0,3.0,-1.0,3.0,5.0,9.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/26/2020,6.0,12.0,-2.0,5.0,8.0,9.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/27/2020,5.0,8.0,-2.0,3.0,7.0,8.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/28/2020,5.0,2.0,-1.0,2.0,6.0,8.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,2/29/2020,7.0,19.0,-1.0,8.0,9.0,8.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
UA,Ukraine,3/1/2020,6.0,9.0,-1.0,6.0,7.0,12.0,0,0,0.0,,9249.46,43785122.0,75.0,0.75,16.43,0.708,Europe
