Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
China,2020-01-22,2020-01-22,2020-01-22,2020-01-22,2020-01-22,0.007654512605182344,0.0012830351505485349,22.938578525403923,17.00119376527908,5.825682454380001,6.241830684938622,1.2253325633227063,2.0014798914700003,6.711278577085579,0.8998351996389999,0.4775126788139568,0.5174930960540415,13.660037522324073,20.97,91.0,42.0,724.0,1.0,1479.0,93.0,54.0,109.0,472.0,50.0,2.0,12.0,96.0,13.0,3.0,152.0,2.0,72.0,20.0,181.0,254.0,2473.0,42.0,0.0,293021.0,53471.0,194634.0,17.855,2020-02-21,99.0,5.0,76.1,38.4,0.32,11.6,8.2,-0.4,29.0,11.4,76.1,1.6,6.2,30.0,30.0,30.0,30.0,22.0,22,22.0,22.0
Costa Rica,2020-03-06,2020-03-19,2020-03-11,2020-03-18,2020-03-21,0.07087366527374761,0.0,13.082640359134444,13.276389595500676,7.550056883300001,3.9767763098032822,2.299081711336921,2.95278228575,7.027555694701286,0.946592272107,0.5365826223082065,1.2747566097749619,10.592420685556778,9.46,73.0,119.0,684.0,0.0,874.0,38.0,44.0,134.0,183.0,295.0,4.0,5.0,32.0,107.0,5.0,49.0,15.0,507.0,8.0,478.0,43.0,2331.0,11.6,0.29,406.0,375.0,280.0,11.497,2020-03-17,83.0,5.0,79.2,32.6,1.08,14.8,4.9,0.8,27.0,7.5,79.2,1.87,25.7,11.0,6.0,-1.0,-2.0,79.0,66,71.0,78.0
Czechia,2020-03-01,2020-03-22,2020-03-05,2020-03-11,2020-03-13,0.09216627503771258,0.3080605680097265,22.68156289233181,17.412003731857713,6.00615153048,4.08714516808379,1.9084212440630628,2.08410348718,7.819747342666592,0.069449314852,0.10545231205311427,0.2980466351409237,16.110773006654476,18.87,321.0,250.0,920.0,0.0,747.0,33.0,19.0,84.0,330.0,280.0,7.0,7.0,16.0,19.0,5.0,116.0,33.0,404.0,13.0,532.0,59.0,2357.0,64.9,0.25,8441.0,2876.0,2581.0,43.14,2020-03-11,98.0,11.0,79.3,43.3,0.06,8.9,10.7,2.3,3.0,2.6,79.3,1.48,26.0,10.0,6.0,-0.0,-11.0,82.0,61,65.0,71.0
Estonia,2020-02-27,2020-03-25,2020-03-06,2020-03-13,2020-03-14,0.06941319118915218,0.6305555555555555,25.376031717246285,15.761323895078668,4.95713861386,2.487847179215016,2.134943456246682,1.8589479358,6.9831271957111465,0.613763812231,0.07314063272063479,0.3364087807842667,9.329070106487086,14.14,314.0,127.0,995.0,0.0,1052.0,48.0,22.0,100.0,283.0,507.0,3.0,9.0,9.0,28.0,10.0,146.0,73.0,245.0,29.0,159.0,80.0,2250.0,49.6,0.23,189.0,938.0,536.0,34.651,2020-03-16,95.0,5.0,77.4,43.7,-0.65,9.3,12.9,-3.1,9.0,3.7,77.4,1.61,21.2,18.0,10.0,3.0,-9.0,85.0,58,66.0,73.0
Finland,2020-01-29,2020-03-21,2020-03-05,2020-03-11,2020-03-13,0.06537813686903315,0.1858490093784212,18.82497700996532,15.455004554636233,4.51574100281,3.6420076371000265,2.213643729138634,1.41455507129,10.588047130995056,0.08634052491460001,0.0015138733475826415,0.28633157031634304,4.838803824977521,10.17,166.0,162.0,1283.0,0.0,968.0,34.0,63.0,107.0,531.0,485.0,30.0,8.0,20.0,11.0,3.0,113.0,40.0,302.0,16.0,219.0,59.0,2054.0,43.5,0.092,4081.0,1000.0,933.0,38.08,2020-03-18,98.0,14.0,81.3,42.8,0.3,10.6,10.3,2.6,3.0,2.5,81.3,1.74,22.2,49.0,13.0,7.0,-3.0,81.0,29,65.0,71.0
Hungary,2020-03-04,2020-03-15,2020-03-11,2020-03-17,2020-03-21,0.11840932796038545,0.13372183372183374,25.94255797523229,19.695265640835,4.95008276166,4.860332812067168,2.653501866569377,1.1362240439799998,7.3860318655662045,0.0911624563025,0.09503964129040186,0.3093845879536984,5.909549421062976,20.0,200.0,347.0,1056.0,0.0,882.0,53.0,13.0,68.0,388.0,254.0,1.0,0.0,13.0,27.0,10.0,88.0,28.0,351.0,2.0,492.0,69.0,2230.0,70.37,0.11,3189.0,1245.0,1220.0,32.312,2020-03-16,99.0,5.0,76.7,43.6,-0.28,8.8,12.9,1.3,12.0,4.7,76.7,1.47,26.4,12.0,5.0,-1.0,1.0,75.0,64,71.0,77.0
Lithuania,2020-02-28,2020-03-21,2020-03-15,2020-03-21,2020-03-22,0.1046875467512662,0.1113095238095238,29.187540977759372,14.803065952180456,3.5795656838100003,2.3228006759388955,2.7322533313433714,2.0395734673900003,6.417709779056803,0.773288807066,0.07288480951284694,0.28230996141165043,14.363062080076276,13.87,227.0,182.0,1056.0,0.0,1075.0,58.0,66.0,80.0,395.0,346.0,3.0,9.0,21.0,88.0,11.0,91.0,16.0,422.0,22.0,240.0,68.0,2363.0,72.82,0.5,2429.0,1316.0,903.0,43.37,2020-03-16,97.0,5.0,75.5,44.5,-1.13,9.5,15.0,-5.9,5.0,3.8,75.5,1.6,26.3,17.0,1.0,-5.0,-5.0,81.0,59,75.0,81.0
Malaysia,2020-01-25,2020-03-17,2020-02-04,2020-03-04,2020-03-09,0.06292793878506571,0.11861426551349034,19.39398967301281,10.033706306670293,7.254092708330001,3.4760601824440367,1.2476558111390779,7.220173442130001,6.337843953839671,1.4706562843200002,0.5727300888627609,0.9321984502279886,113.51469248262728,14.32,12.0,25.0,511.0,0.0,1252.0,71.0,102.0,58.0,238.0,72.0,17.0,2.0,37.0,26.0,42.0,40.0,1.0,409.0,8.0,438.0,59.0,2398.0,18.6,0.077,1967.0,836.0,684.0,15.132,2020-03-18,99.0,5.0,75.9,29.2,1.29,18.3,5.3,-0.3,29.0,11.4,75.9,2.43,15.6,53.0,43.0,14.0,1.0,77.0,25,35.0,64.0
Mauritius,2020-03-18,2020-03-21,2020-03-20,2020-03-26,2020-03-28,0.103856456655461,0.2555555555555556,17.57354342085408,8.813236202167895,20.982918616400003,4.048014051865917,1.7822138768915172,2.87291851698,6.540191369870034,1.0871948639,0.9988877138973312,1.7030814323338996,22.903748275196143,10.8,53.0,26.0,459.0,0.0,1451.0,22.0,51.0,58.0,202.0,154.0,19.0,4.0,36.0,88.0,18.0,39.0,25.0,289.0,6.0,530.0,57.0,2668.0,34.0,0.4,88.0,79.0,67.0,20.246,2020-03-19,98.0,5.0,76.5,36.3,0.54,12.6,7.3,0.0,61.0,9.0,76.5,1.73,10.8,1.0,-1.0,-7.0,-2.0,81.0,78,80.0,86.0
Oman,2020-02-24,2020-03-31,2020-03-03,2020-03-21,2020-03-26,0.09953692329782302,0.0,13.568191707773902,4.726377379260941,9.95288427796,2.1263952272016318,0.7571191245239275,3.7201268633,8.964624363008172,0.27906617622900004,0.12836817090398508,1.4420543514450417,27.051768136733003,8.19,5.0,33.0,589.0,0.0,1158.0,31.0,46.0,404.0,194.0,276.0,6.0,8.0,19.0,38.0,30.0,48.0,22.0,264.0,11.0,238.0,100.0,2342.0,15.8,0.11,556.0,195.0,192.0,19.697,2020-03-15,99.0,5.0,76.3,26.2,1.96,23.1,3.3,-0.4,19.0,11.7,76.3,2.76,27.0,20.0,12.0,-6.0,-16.0,91.0,55,63.0,81.0
