iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
PR,Puerto Rico,2/15/2020,0.0,9.0,0.0,2.0,-4.0,-3.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/16/2020,-2.0,10.0,-1.0,0.0,-2.0,-4.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/17/2020,-5.0,16.0,8.0,-3.0,-8.0,-27.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/18/2020,2.0,3.0,-1.0,-2.0,5.0,8.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/19/2020,-3.0,4.0,-1.0,-2.0,7.0,8.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/20/2020,0.0,1.0,-1.0,-2.0,-1.0,8.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/21/2020,-1.0,3.0,-2.0,-2.0,-3.0,10.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/22/2020,-2.0,9.0,0.0,-1.0,-6.0,-1.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/23/2020,-5.0,-1.0,0.0,-4.0,-1.0,-4.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/24/2020,-4.0,-13.0,0.0,-7.0,-2.0,15.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/25/2020,-8.0,-20.0,1.0,-10.0,-5.0,6.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/26/2020,-3.0,-1.0,-1.0,-2.0,1.0,9.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/27/2020,1.0,4.0,-1.0,2.0,2.0,9.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/28/2020,2.0,4.0,-3.0,3.0,1.0,10.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,2/29/2020,-1.0,12.0,-1.0,2.0,-3.0,-1.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/1/2020,0.0,12.0,-1.0,2.0,5.0,-4.0,0,0,0.027999999999999997,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/2/2020,3.0,-9.0,4.0,-2.0,-1.0,-8.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/3/2020,10.0,0.0,-2.0,2.0,4.0,9.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/4/2020,4.0,3.0,-1.0,1.0,4.0,9.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/5/2020,1.0,1.0,-1.0,-1.0,1.0,8.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/6/2020,3.0,2.0,-2.0,-1.0,-4.0,9.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/7/2020,0.0,8.0,0.0,1.0,-4.0,-2.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/8/2020,1.0,0.0,0.0,0.0,-3.0,-5.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/9/2020,-1.0,-19.0,1.0,-8.0,-1.0,12.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/10/2020,6.0,-7.0,0.0,-3.0,1.0,7.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/11/2020,2.0,-7.0,0.0,-3.0,-2.0,7.0,0,0,0.139,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/12/2020,27.0,-5.0,-1.0,2.0,-9.0,6.0,0,0,0.287,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/13/2020,25.0,-7.0,0.0,-3.0,-11.0,6.0,3,0,0.39799999999999996,,39540.59,2874636.0,323.0,,18.67,,North America
PR,Puerto Rico,3/14/2020,26.0,-16.0,3.0,-12.0,-21.0,-4.0,3,0,0.509,,39540.59,2874636.0,323.0,,18.67,,North America
