Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Armenia,2020-03-01,2020-03-26,2020-03-14,2020-03-16,2020-03-19,0.12563451876828682,0.5138888888888888,25.348767139565282,14.673964438415773,8.057546359439996,3.6267841005570345,2.7321589914412368,2.8638792959500003,6.0490862699879,0.49033951052,0.13739736051463922,1.2124862595106918,15.685065093319604,17.04,14.0,109.0,790.0,0.0,1186.0,45.0,11.0,156.0,260.0,347.0,7.0,18.0,14.0,27.0,1.0,77.0,43.0,326.0,19.0,220.0,198.0,2288.0,41.8,0.64,1011.0,784.0,419.0,28.99,2020-03-02,99.0,5.0,75.6,36.6,-0.3,11.9,9.5,-5.5,26.0,11.5,75.6,1.65,20.2,1.0,-12.0,-14.0,-24.0,86.0,61,74.0,76.0
Bosnia and Herzegovina,2020-03-05,2020-03-21,2020-03-12,2020-03-19,2020-03-22,0.14587433318966062,0.2745726495726496,26.853919987565273,17.34197300833541,8.03717375119,3.865477493192525,1.4262493754838608,1.16335418251,6.5128839348744325,0.278129857293,0.08192864811508332,0.6819669342289006,7.301671128250819,22.57,254.0,36.0,592.0,0.0,1388.0,19.0,12.0,124.0,198.0,319.0,13.0,7.0,20.0,51.0,68.0,148.0,55.0,198.0,17.0,193.0,148.0,2677.0,34.99,0.13,275.0,115.0,54.0,20.003,2020-03-12,95.0,5.0,77.5,43.3,-0.19,8.6,10.2,-0.4,10.0,5.2,77.5,1.33,17.9,7.0,-0.0,-7.0,-9.0,81.0,65,72.0,79.0
Chile,2020-03-03,2020-03-22,2020-03-10,2020-03-14,2020-03-16,0.13320086887149266,0.24464285714285716,12.219116829647806,14.273118431428196,6.59386331875,3.594836971599904,3.0178705785122,2.4773953452,12.550732689580505,0.808451258927,0.26998064631725993,0.7380699098175479,19.513353948838734,9.4,96.0,83.0,744.0,0.0,1179.0,38.0,24.0,77.0,447.0,150.0,5.0,2.0,23.0,35.0,2.0,129.0,11.0,460.0,14.0,170.0,66.0,2267.0,22.0,0.35,7137.0,1931.0,2322.0,10.8,2020-03-16,93.0,5.0,79.4,35.5,0.71,13.1,6.5,0.3,13.0,6.2,79.4,1.77,28.0,13.0,6.0,2.0,-6.0,82.0,63,70.0,74.0
Cuba,2020-03-12,2020-03-18,2020-03-19,2020-03-25,2020-03-28,0.20192466778225615,0.2222222222222222,20.388948501772717,17.768737780974337,6.4197261499,4.292327582576736,1.6532218288136882,3.6449368126999997,6.320415303049594,0.632482831984,0.16110693255724226,1.1645423419582766,29.415143842434183,18.34,67.0,42.0,519.0,0.0,1337.0,32.0,10.0,219.0,293.0,134.0,2.0,7.0,58.0,177.0,1.0,236.0,4.0,518.0,0.0,185.0,87.0,2891.0,52.0,0.43,8026.0,3001.0,1806.0,81.9,2020-03-24,99.0,5.0,79.2,42.1,-0.25,10.4,9.1,-3.7,36.0,4.3,79.2,1.71,24.6,12.0,5.0,-1.0,6.0,78.0,72,79.0,85.0
Ecuador,2020-03-01,2020-03-14,2020-03-04,2020-03-17,2020-03-18,0.12293286629807886,0.2260786676554196,9.863869507694435,9.57969566453301,7.936254430259999,2.5675234956748128,2.1380695451432783,6.1271894150699975,5.936934089283946,1.87324331604,0.6127950960527929,0.9225495493792806,36.82108928180646,5.45,48.0,77.0,504.0,0.0,1213.0,28.0,13.0,134.0,203.0,177.0,5.0,7.0,19.0,17.0,2.0,53.0,4.0,191.0,2.0,372.0,24.0,2082.0,15.0,0.095,5461.0,2016.0,1996.0,20.5,2020-03-13,88.0,5.0,77.5,28.8,1.2,17.0,5.2,0.0,59.0,15.0,77.5,2.09,19.9,12.0,9.0,-4.0,-1.0,74.0,61,64.0,77.0
Israel,2020-02-21,2020-03-21,2020-03-01,2020-03-08,2020-03-12,0.14586942785092913,0.20854700854700856,10.345470604355288,15.031542872342095,8.55455785368,3.7638188963730537,0.9398362314325456,2.664928548,12.357996257339108,0.194208069474,0.00824128011642143,0.6957890238175471,18.22910334510501,13.55,44.0,36.0,812.0,0.0,1074.0,39.0,45.0,189.0,402.0,281.0,7.0,10.0,111.0,61.0,5.0,72.0,35.0,254.0,46.0,694.0,107.0,2697.0,30.92,0.078,3161.0,636.0,1049.0,32.176,2020-03-12,68.0,38.0,83.0,30.4,1.46,17.6,5.3,2.1,3.0,3.3,83.0,2.59,26.1,20.0,11.0,4.0,-9.0,81.0,52,61.0,68.0
Mexico,2020-02-28,2020-03-19,2020-03-12,2020-03-16,2020-03-19,0.15430149385229727,0.29915161466885604,10.444749780353137,8.202116877463249,15.1662767623,3.2817615221697496,3.780204079328209,4.05485531317,5.0411552231137255,1.1608107102399998,0.7100315099852793,1.206946742207586,20.03828635852639,7.59,78.0,59.0,670.0,0.0,1403.0,70.0,28.0,109.0,329.0,169.0,0.0,16.0,29.0,101.0,15.0,33.0,5.0,456.0,15.0,292.0,55.0,2590.0,15.2,0.056,25900.0,14455.0,8750.0,22.478,2020-03-23,96.0,5.0,76.7,29.3,1.04,17.6,5.4,-1.9,33.0,10.7,76.7,2.19,28.9,24.0,11.0,7.0,4.0,79.0,59,72.0,76.0
Poland,2020-03-04,2020-03-12,2020-03-08,2020-03-13,2020-03-14,0.13381300128578855,0.2415734931207549,22.054016122352923,18.8045069063688,4.84343128897,3.7986854307613225,2.01701501099877,2.0431037774400003,7.474615868379715,0.19871641778299998,0.09927603530656708,0.3271146291208686,16.325209772517905,19.52,201.0,292.0,1030.0,0.0,1132.0,26.0,36.0,75.0,448.0,227.0,0.0,1.0,15.0,19.0,3.0,187.0,6.0,441.0,12.0,319.0,85.0,2496.0,65.0,0.15,5954.0,4812.0,6051.0,23.998,2020-03-16,94.0,5.0,78.3,41.9,-0.19,8.9,10.6,-0.3,2.0,4.3,78.3,1.38,23.1,12.0,8.0,3.0,4.0,72.0,64,68.0,73.0
Romania,2020-02-26,2020-03-22,2020-03-08,2020-03-13,2020-03-14,0.1348474204630277,0.2883927788777477,30.37586870020587,15.842704167410119,3.63949708417,3.5040123313359044,3.6370050569205024,2.70642798385,6.606261640413605,0.58981239287,0.10010189803123083,0.9740856998402456,22.20437574391961,15.84,149.0,153.0,927.0,0.0,1258.0,56.0,12.0,126.0,266.0,430.0,8.0,10.0,15.0,20.0,23.0,183.0,27.0,283.0,18.0,359.0,128.0,2597.0,62.7,0.75,9157.0,2389.0,1854.0,22.586,2020-03-11,98.0,5.0,76.0,42.5,-0.37,8.5,12.0,-0.2,19.0,8.7,76.0,1.38,22.5,14.0,3.0,-2.0,-11.0,82.0,57,68.0,73.0
Tunisia,2020-03-04,2020-03-19,2020-03-13,2020-03-20,2020-03-24,0.12650774228918973,0.15833333333333333,21.555933384089734,8.201980213078347,9.21029240676,3.68254524944601,0.9187256161512776,3.20420331059,8.976773432212024,0.4155523962830001,0.09364229607515236,0.6225239645485774,16.20762271552945,16.09,17.0,47.0,402.0,0.0,1661.0,27.0,24.0,135.0,117.0,181.0,2.0,5.0,36.0,70.0,17.0,60.0,11.0,350.0,51.0,490.0,164.0,3066.0,22.9,0.27,327.0,695.0,255.0,12.722,2020-03-16,97.0,5.0,76.3,32.7,0.85,15.9,6.4,-1.4,43.0,11.0,76.3,2.06,26.9,12.0,3.0,-4.0,-3.0,79.0,64,73.0,80.0
