iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
RU,Russia,2/15/2020,8.0,1.0,-1.0,10.0,8.0,1.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/16/2020,7.0,3.0,0.0,8.0,6.0,3.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/17/2020,4.0,-1.0,1.0,4.0,3.0,1.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/18/2020,5.0,5.0,0.0,7.0,5.0,2.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/19/2020,5.0,6.0,0.0,7.0,4.0,2.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/20/2020,9.0,12.0,-1.0,11.0,7.0,2.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/21/2020,8.0,12.0,-1.0,11.0,9.0,2.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/22/2020,11.0,6.0,-2.0,13.0,10.0,1.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/23/2020,9.0,10.0,-2.0,11.0,4.0,1.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/24/2020,-3.0,5.0,13.0,3.0,-20.0,-62.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/25/2020,3.0,2.0,0.0,2.0,5.0,4.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/26/2020,2.0,4.0,-1.0,3.0,4.0,5.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/27/2020,4.0,8.0,-1.0,4.0,5.0,5.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/28/2020,3.0,3.0,0.0,4.0,5.0,5.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,2/29/2020,6.0,3.0,0.0,8.0,8.0,9.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/1/2020,9.0,44.0,-1.0,12.0,11.0,8.0,2,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/2/2020,4.0,3.0,0.0,4.0,4.0,6.0,3,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/3/2020,7.0,6.0,-1.0,7.0,6.0,6.0,3,0,0.083,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/4/2020,9.0,11.0,-1.0,9.0,7.0,6.0,3,0,0.083,46414.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/5/2020,15.0,13.0,-2.0,14.0,9.0,7.0,4,0,0.222,51366.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/6/2020,12.0,11.0,-2.0,14.0,10.0,6.0,10,0,0.222,55688.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/7/2020,20.0,11.0,-2.0,20.0,14.0,3.0,14,0,0.222,59960.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/8/2020,20.0,36.0,-4.0,22.0,14.0,0.0,17,0,0.222,63191.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/9/2020,1.0,36.0,12.0,9.0,-15.0,-63.0,20,0,0.222,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/10/2020,4.0,9.0,-1.0,4.0,6.0,5.0,20,0,0.319,70601.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/11/2020,6.0,10.0,-1.0,6.0,7.0,5.0,28,0,0.319,76963.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/12/2020,7.0,10.0,-1.0,7.0,6.0,5.0,34,0,0.319,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/13/2020,7.0,6.0,0.0,6.0,4.0,4.0,45,0,0.319,94852.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/14/2020,10.0,3.0,-1.0,10.0,9.0,8.0,59,0,0.35600000000000004,104883.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/15/2020,10.0,-2.0,0.0,6.0,4.0,5.0,63,0,0.35600000000000004,109939.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/16/2020,12.0,2.0,0.0,5.0,4.0,3.0,93,0,0.523,116061.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/17/2020,19.0,9.0,1.0,8.0,2.0,-1.0,114,0,0.625,122854.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/18/2020,13.0,8.0,1.0,3.0,-2.0,-4.0,147,0,0.625,133101.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/19/2020,7.0,8.0,2.0,0.0,-5.0,-6.0,199,1,0.6809999999999999,143519.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/20/2020,5.0,4.0,3.0,-2.0,-6.0,-8.0,253,1,0.6809999999999999,156016.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/21/2020,2.0,-2.0,2.0,-6.0,-6.0,-7.0,306,1,0.6990000000000001,163529.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/22/2020,2.0,6.0,1.0,-8.0,-8.0,2.0,367,1,0.6990000000000001,165772.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/23/2020,1.0,4.0,4.0,-5.0,-12.0,-14.0,438,1,0.6990000000000001,185918.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/24/2020,1.0,5.0,4.0,-5.0,-12.0,-15.0,495,1,0.6990000000000001,192824.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/25/2020,7.0,13.0,4.0,-2.0,-10.0,-15.0,658,1,0.6990000000000001,197251.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/26/2020,8.0,16.0,4.0,-4.0,-11.0,-16.0,840,2,0.6990000000000001,223509.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/27/2020,9.0,12.0,4.0,-5.0,-11.0,-17.0,1036,3,0.6990000000000001,243377.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/28/2020,-5.0,-3.0,4.0,-33.0,-22.0,-22.0,1264,4,0.718,263888.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/29/2020,-13.0,-7.0,4.0,-42.0,-30.0,-16.0,1534,8,0.718,343523.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/30/2020,-18.0,-20.0,16.0,-45.0,-46.0,-51.0,1836,9,0.87,,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,3/31/2020,-22.0,-28.0,18.0,-49.0,-51.0,-55.0,2337,17,0.87,406500.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/1/2020,-30.0,-36.0,20.0,-56.0,-57.0,-59.0,2777,24,0.87,536000.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/2/2020,-32.0,-37.0,22.0,-57.0,-60.0,-61.0,3548,30,0.87,575103.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/3/2020,-30.0,-37.0,23.0,-56.0,-58.0,-59.0,4149,34,0.87,639606.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/4/2020,-34.0,-40.0,13.0,-60.0,-55.0,-44.0,4731,43,0.87,697004.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/5/2020,-31.0,-35.0,9.0,-58.0,-53.0,-31.0,5389,45,0.87,758401.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/6/2020,-24.0,-29.0,17.0,-48.0,-52.0,-49.0,6343,47,0.852,795523.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/7/2020,-21.0,-22.0,17.0,-46.0,-49.0,-49.0,7497,58,0.852,910221.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/8/2020,-23.0,-23.0,16.0,-47.0,-49.0,-48.0,8672,63,0.852,1004719.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/9/2020,-20.0,-17.0,15.0,-44.0,-47.0,-47.0,10131,76,0.852,1092811.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/10/2020,-18.0,-23.0,16.0,-44.0,-47.0,-46.0,11917,94,0.852,1184442.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/11/2020,-22.0,-31.0,9.0,-49.0,-46.0,-35.0,13584,106,0.852,1278747.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/12/2020,-20.0,-28.0,6.0,-49.0,-45.0,-24.0,15770,130,0.852,1359993.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/13/2020,-18.0,-21.0,15.0,-42.0,-47.0,-44.0,18328,148,0.852,1426014.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/14/2020,-17.0,-22.0,15.0,-41.0,-47.0,-44.0,21102,170,0.852,1517992.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/15/2020,-17.0,-23.0,15.0,-41.0,-48.0,-45.0,24490,198,0.852,1613413.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/16/2020,-17.0,-25.0,16.0,-42.0,-50.0,-45.0,27938,232,0.852,1718019.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/17/2020,-15.0,-27.0,17.0,-42.0,-49.0,-45.0,32008,273,0.852,1831892.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/18/2020,-16.0,-34.0,10.0,-47.0,-48.0,-34.0,36793,313,0.852,1949813.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/19/2020,-32.0,-26.0,6.0,-56.0,-50.0,-27.0,42853,361,0.852,2053319.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/20/2020,-25.0,-22.0,15.0,-45.0,-50.0,-44.0,47121,405,0.852,2142604.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/21/2020,-20.0,-20.0,15.0,-42.0,-48.0,-44.0,52763,456,0.852,2252539.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/22/2020,-21.0,-22.0,15.0,-43.0,-49.0,-44.0,57999,513,0.852,2401616.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/23/2020,-18.0,-19.0,15.0,-42.0,-48.0,-43.0,62773,555,0.852,2552000.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/24/2020,-18.0,-22.0,15.0,-42.0,-48.0,-43.0,68622,615,0.852,2721500.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/25/2020,-21.0,-28.0,8.0,-47.0,-45.0,-32.0,74588,681,0.852,2877699.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/26/2020,-18.0,-16.0,4.0,-46.0,-42.0,-20.0,80949,747,0.852,3019434.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/27/2020,-16.0,-15.0,13.0,-39.0,-45.0,-41.0,87147,794,0.852,3139258.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/28/2020,-15.0,-13.0,13.0,-38.0,-44.0,-42.0,93558,867,0.852,3303717.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/29/2020,-14.0,-15.0,12.0,-37.0,-43.0,-41.0,99399,972,0.852,3498308.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,4/30/2020,-3.0,-3.0,10.0,-29.0,-38.0,-40.0,106498,1073,0.852,3723807.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/1/2020,-19.0,-5.0,17.0,-44.0,-52.0,-69.0,114431,1165,0.852,3945518.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/2/2020,-25.0,-12.0,6.0,-49.0,-45.0,-37.0,124054,1222,0.852,4099999.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/3/2020,-17.0,1.0,1.0,-44.0,-39.0,-15.0,134687,1280,0.852,4303243.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/4/2020,-16.0,7.0,15.0,-39.0,-50.0,-64.0,145268,1356,0.852,4460357.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/5/2020,-16.0,6.0,14.0,-39.0,-49.0,-64.0,155370,1451,0.852,4633731.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/6/2020,-13.0,-1.0,11.0,-36.0,-42.0,-41.0,165929,1537,0.852,4803192.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/7/2020,-10.0,2.0,11.0,-34.0,-41.0,-42.0,177160,1625,0.852,4987468.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/8/2020,-6.0,2.0,11.0,-32.0,-40.0,-42.0,187859,1723,0.852,5221964.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
RU,Russia,5/9/2020,-19.0,2.0,4.0,-47.0,-42.0,-39.0,198676,1827,0.852,5448463.0,27588.13,145922010.0,9.0,0.8240000000000001,14.67,0.544,Europe
