iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
ES,Spain,2/15/2020,-1.0,26.0,-2.0,2.0,8.0,0.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/16/2020,3.0,13.0,-2.0,2.0,5.0,-1.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/17/2020,1.0,9.0,-1.0,0.0,3.0,3.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/18/2020,0.0,5.0,0.0,-2.0,4.0,3.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/19/2020,1.0,11.0,-1.0,0.0,2.0,3.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/20/2020,1.0,15.0,-1.0,1.0,5.0,3.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/21/2020,2.0,20.0,-2.0,1.0,6.0,2.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/22/2020,2.0,44.0,-2.0,2.0,14.0,2.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/23/2020,10.0,33.0,-3.0,7.0,11.0,1.0,2,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/24/2020,3.0,36.0,0.0,5.0,4.0,-7.0,3,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/25/2020,-1.0,17.0,1.0,-2.0,3.0,-6.0,9,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/26/2020,4.0,11.0,0.0,0.0,1.0,0.0,17,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
ES,Spain,2/27/2020,8.0,16.0,-2.0,4.0,6.0,1.0,33,1,0.111,,39715.44,46751175.0,94.0,0.893,19.38,0.972,Europe
