iso,country,date,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,confirmed_cases,confirmed_deaths,gov_response_stringency_index,total_tests,gdp_ppp_per_capita,population,population_density,human_development_index,pop_age_above_65_percentage,health_index,continent
US,United States,2/15/2020,2.0,15.0,-1.0,6.0,3.0,2.0,15,1,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/16/2020,1.0,16.0,-1.0,7.0,2.0,0.0,15,1,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/17/2020,0.0,28.0,5.0,6.0,-9.0,-24.0,18,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/18/2020,-1.0,6.0,1.0,0.0,1.0,0.0,21,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/19/2020,0.0,8.0,0.0,2.0,1.0,1.0,24,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/20/2020,0.0,4.0,1.0,1.0,0.0,0.0,27,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/21/2020,-2.0,4.0,0.0,2.0,1.0,0.0,31,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/22/2020,3.0,23.0,-1.0,7.0,5.0,4.0,35,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/23/2020,3.0,23.0,-1.0,7.0,5.0,2.0,35,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/24/2020,1.0,9.0,0.0,2.0,1.0,3.0,35,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/25/2020,1.0,9.0,0.0,4.0,2.0,2.0,36,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/26/2020,2.0,5.0,-1.0,7.0,3.0,2.0,37,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/27/2020,3.0,12.0,0.0,8.0,4.0,2.0,38,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/28/2020,3.0,10.0,-1.0,8.0,5.0,2.0,39,2,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,2/29/2020,7.0,21.0,-2.0,12.0,7.0,4.0,40,3,0.055999999999999994,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/1/2020,9.0,18.0,-1.0,13.0,7.0,3.0,42,4,0.083,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/2/2020,6.0,10.0,-1.0,7.0,2.0,3.0,57,8,0.111,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/3/2020,10.0,20.0,-1.0,11.0,3.0,2.0,85,11,0.111,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/4/2020,6.0,17.0,-1.0,8.0,2.0,3.0,111,13,0.111,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/5/2020,7.0,21.0,-1.0,8.0,2.0,3.0,175,13,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/6/2020,3.0,12.0,-1.0,5.0,2.0,2.0,252,17,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/7/2020,8.0,29.0,-1.0,10.0,7.0,5.0,353,22,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/8/2020,7.0,40.0,-1.0,10.0,5.0,2.0,497,24,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/9/2020,6.0,31.0,0.0,6.0,-1.0,0.0,645,29,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/10/2020,7.0,18.0,1.0,6.0,-3.0,-2.0,936,34,0.204,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/11/2020,10.0,26.0,0.0,8.0,-2.0,-1.0,1205,40,0.218,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/12/2020,23.0,19.0,1.0,6.0,-6.0,-3.0,1598,44,0.301,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/13/2020,26.0,4.0,3.0,2.0,-10.0,-7.0,2163,52,0.301,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/14/2020,18.0,3.0,3.0,-6.0,-10.0,-1.0,2825,59,0.35600000000000004,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/15/2020,12.0,5.0,3.0,-9.0,-13.0,-7.0,3501,65,0.41200000000000003,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/16/2020,21.0,-1.0,8.0,-8.0,-22.0,-20.0,4373,79,0.523,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/17/2020,14.0,8.0,11.0,-18.0,-26.0,-27.0,5664,100,0.551,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/18/2020,8.0,6.0,13.0,-24.0,-30.0,-31.0,8074,126,0.551,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/19/2020,7.0,2.0,15.0,-28.0,-36.0,-33.0,12022,178,0.6709999999999999,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/20/2020,5.0,-2.0,16.0,-32.0,-37.0,-36.0,17439,233,0.6709999999999999,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/21/2020,-2.0,-3.0,12.0,-40.0,-36.0,-24.0,23710,301,0.727,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
US,United States,3/22/2020,-13.0,-12.0,11.0,-44.0,-44.0,-31.0,32341,411,0.727,,62794.59,330610570.0,36.0,0.92,15.81,0.838,North America
