Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Argentina,4.2672,0.2234,19.3454,0.0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0.0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0.0,0.02,0.9541,4.3503,30.6559,28.5,4.6,0.5594640456618989,0.0104987108006259,0.23853934812790603,0.310425986733367,45377000.0,%
Armenia,0.4014,0.1833,13.564,0.0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0.0,0.1108,0.4705,16.7019,36.4358,20.9,4.3,1.36782814614344,0.0269282814614344,1.10338294993234,0.237516914749662,2956000.0,%
Belarus,3.7563,0.3353,12.7089,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.07200000000000001,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,26.6,2,0.735434666666667,0.00628266666666667,0.693237333333333,0.0359146666666667,9375000.0,%
Belgium,5.372999999999999,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0.0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.0,0.1309,0.564,6.8161,32.2637,24.5,2,0.648024316109422,0.0857924446374294,0.154511506730352,0.407720364741641,11515000.0,%
Bolivia,2.8956,0.0889,11.7799,0.0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,0.7877159804005849,0.0319092237599931,0.264961746754921,0.4908450098856699,11633000.0,%
Brazil,4.3629,0.2803,17.347,0.0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,0.0006,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,2,1.44348289993013,0.0480388268842181,1.1287509678393999,0.26669310520650397,211812000.0,%
Cabo Verde,3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0.0,0.0258,0.9471,6.6338,40.2437,10.6,12.6,0.518525179856115,0.00575539568345324,0.38273381294964,0.130035971223022,556000.0,%
Chile,4.968999999999999,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0.0,0.11900000000000001,0.5435,5.3092,34.9584,28.8,2.7,1.92626605033385,0.0520749871597329,1.78398561890087,0.0902054442732409,19470000.0,%
Colombia,3.1032,0.0814,12.821,0.0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.027999999999999997,0.0947,0.9454,3.0981,37.1774,22.1,4.8,0.8041885769759729,0.0266038346412103,0.447949195048944,0.329635547285818,49444000.0,%
Djibouti,0.3778,0.0579,5.5215,0.0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0.0,0.0406,1.6153,9.7637,44.4582,12.2,18.9,0.5411943319838061,0.00597165991902834,0.518218623481781,0.017004048582996,988000.0,%
